Issue Type,Issue key,Issue id,Summary,Status,Outward issue link (Blocking),Outward issue link (Blocking),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Description,Custom field (Parent Link)
Requirement,DMFDREQ-649,81025,ENET FAIL CAS Message,In Requirement Review,,,,,,,,MFD-1356,APRD-1686,,,,"MFD shall annunciate ""ENET FAIL"" CAS message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Caution|MFD does not receive data from All DAUs on both buses.|0.0|0.5|NO| |",
Requirement,DMFDREQ-967,81343,COM Gross Weight,In Requirement Review,,,,,,,,MFD-246,,,,,"The COM Vehicle State Panel shall display the Vehicle Landing Weight in lb. (DMFDREQ-1077) as a unsigned integer with up to 6 characters separated by a comma

{color:#172b4d}!image-2021-06-30-09-00-23-116.png!{color}",
Requirement,DMFDREQ-1774,82194,Bearing Calculation,In Requirement Review,,,,,,,,,,,,,"h3. *The bearing in degrees between two points shall be calculated as follows:*
 
bearing = atan2(sin(Δλ) * cos(φ₂), cos(φ₁) * sin(φ₂) - sin(φ₁) * cos(φ₂) * cos(Δλ))
bearing = bearing × (180 / π)
h3. Where:
 * 
h3. φ₁ is the latitude of the first point [radians]

 * 
h3. φ₂ is the latitude of the second point [radians]

 * 
h3. Δλ is the difference between the longitudes (λ₂ - λ₁) [radians]",
Requirement,DMFDREQ-773,81149,ECS PRESS Emergency ECS Controller Flag,In Requirement Review,,,,,,,,MFD-158,,,,,"The ECS PRESS page shall display the Emergency ECS Controller Flag as shown below in order of descending precedence:
||Text Color||Text||Condition||
|Grey|MODE| Emergency Pressure Control Valve Control *Enabled Valid* == false|
|Yellow|FAULT| Emergency Pressure Control  *Fault* == true|
|White|TEST| Emergency Pressure Control *Test* == true|
|White|ON| Emergency Pressure Control Valve Control *Enabled* == true|
|White|OFF| Emergency Pressure Control Valve Control  *Enabled* == false|",
Requirement,DMFDREQ-1505,81881,PLAN W&B ERASE,In Requirement Review,,,,,,,,MFD-681,,,,,The PLAN W&B Page shall erase all pending changes made when the ERASE soft key is pressed.,
Requirement,DMFDREQ-1460,81836,DIAG XPDR Reported Error RX FAULT3,In Requirement Review,,,,,,,,MFD-606,,,,,DIAG XPDR Page shall display RX FAULT3 error status.,
Requirement,DMFDREQ-193,73761,CTRL STAB RCSAS State,In Requirement Review,,,,,,,,,,,,,"The CTRL STAB Page shall display the state of the RCSAS as follow:
||Text||Condition||
|SAS|SAS_Q is enabled and SAS_Q_NOT not enabled|
|----|no SAS, no CSS|
|CSS|CSAS Release is ON|",
Requirement,DMFDREQ-2128,85462,FTHR - Left and Right Lock Handle Status,Changed Requirement,,,,,,,,DMFDREQ-261,,,,,"The FTHR page shall display the status of the Left and Right Lock Handle according the the following table:
|Display|Condition|Description|
|!image-2025-07-21-14-03-44-746.png!|L_FEATHER_LOCK_HANDLE_SWITCH_POS= 1
and 
R_FEATHER_LOCK_HANDLE_SWITCH_POS= 1|Left and right lock handle down|
|!image-2025-07-21-14-04-04-139.png!|L_FEATHER_LOCK_HANDLE_SWITCH_POS= 0
and 
R_FEATHER_LOCK_HANDLE_SWITCH_POS= 1|Left lock handle up and right feather handle down|
|!image-2025-07-21-14-04-20-343.png!|L_FEATHER_LOCK_HANDLE_SWITCH_POS= 0
and 
R_FEATHER_LOCK_HANDLE_SWITCH_POS= 0|left and right lock handle up|
|!image-2025-07-21-14-04-48-432.png!|L_FEATHER_LOCK_HANDLE_SWITCH_POS= 1
and 
R_FEATHER_LOCK_HANDLE_SWITCH_POS= 0|left lock handle down and right feather handle up|",
Requirement,DMFDREQ-356,75824,MFD Center LOCK RETRACT OR FEATHER INHIBIT,Changed Requirement,,,,,,,,,,,,,"The MFD Center shall set the LOCK RETRACT OR FEATHER INHIBIT discrete output on HD OUT 2 (discrete output index 9) to the active state (Open) when either of the following CAS messages are thrown:
 * TBD

and to the inactive state (GND) when neither of these CAS messages are thrown.",
Requirement,DMFDREQ-355,75823,MFD Center LOCK EXTEND OR FEATHER DOWN INHIBIT,Changed Requirement,,,,,,,,,,,,,"The MFD Center shall set the LOCK EXTEND INHIBIT discrete output on HD OUT 1 (discrete output index 8) to the active state (Open) when either of the following CAS messages are thrown:
 * TBD
 * and to the inactive state (GND) when neither of these CAS messages are thrown.",
