Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocking),Outward issue link (Blocking),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Referencing),Inward issue link (Referencing),Inward issue link (Referencing),Inward issue link (Referencing),Inward issue link (Referencing),Inward issue link (Referencing),Outward issue link (Referencing),Outward issue link (Referencing),Outward issue link (Referencing),Outward issue link (Referencing),Outward issue link (Referencing),Outward issue link (Referencing),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (Trace To Regulatory),Inward issue link (Tracing),Outward issue link (Tracing),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (AOG),Custom field (ATP Completion),Custom field (Action Source),Custom field (Affected Documents),Custom field (Affected Items),Custom field (Affects SW),Custom field (Agile Release),Custom field (Avionics Group),Custom field (Budget Impact),Custom field (Business Value),Custom field (Buyer),Custom field (CAPEX),Custom field (Category Code),Custom field (Checklist Field Test 1),Custom field (Child Requirement),Custom field (Cockpit Working Group),Custom field (Code Review),Custom field (Configuration ID),Custom field (Corrective Actions),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Data ID),Custom field (Days Open),Custom field (Delta Systems),Custom field (Department),Custom field (Derived Requirement),Custom field (ECO),Custom field (ER Number),Custom field (Engineering Review Board),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Epic Verification Issue),Custom field (Epic/Theme),Custom field (Execution Count),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (Failure Type),Custom field (Fix SW),Custom field (Flagged),Custom field (Flight Number),Custom field (Flight Rationale),Custom field (Fly-Away),Custom field (Function),Custom field (Hot Item),Custom field (IMS),Custom field (IMS Tracking),Custom field (Implementation),Custom field (Implementation Link),Custom field (Incorporated Redlines),Custom field (Job),Custom field (Justification),Custom field (Last Comment),Custom field (Line Item Cost),Custom field (Link),Custom field (Linked),Custom field (Manufacturer),Custom field (Milestone),Custom field (Mitigation Plan),Custom field (Original story points),Custom field (PDF Review),Custom field (PO Number),Custom field (PR Number),Custom field (Parent Link),Custom field (Parent Requirement),Custom field (Part Number),Custom field (Parts/Materials Code),Custom field (Percent Complete),Custom field (Pilot Verification),Custom field (Precondition),Custom field (Procurement Requirements),Custom field (Procurement Task),Custom field (Production Control),Custom field (Project Code),Custom field (Project Specific),Custom field (Quantity),Custom field (Quote Requirements),Custom field (RCR ID),Custom field (Rank),Custom field (Rationale),Custom field (Reference),Custom field (Related Product),Custom field (Related Subsystem),Custom field (Related Vehicle),Custom field (Requested by),Custom field (Requirement),Custom field (Requirement Attributes),Custom field (Requirement Custodian),Custom field (Requirement Heading),Custom field (Requirement ID),Custom field (Requirement Level),Custom field (Requirement Level),Custom field (Requirement Suite),Custom field (Requirement Type),Custom field (Requirement Validation Checkboxes),Custom field (Requirement Validation Checkboxes),Custom field (Requirement Validation Checkboxes),Custom field (Requirement Validation Checkboxes),Custom field (Requirement Validation Checkboxes),Custom field (Requirement Validation Checkboxes),Custom field (Requirement Validation Checkboxes),Custom field (Requirement Validation Checkboxes),Custom field (Requirement Validation Checkboxes),Custom field (Requirement Validation Checkboxes),Custom field (Requirement Validation Checkboxes),Custom field (Revision),Custom field (Risk Description (event and consequence)),Custom field (Risk Probability),Custom field (Run Attributes),Custom field (Run Status),Custom field (Safety Requirement),Custom field (Safety Requirement Source),Custom field (Schedule Impact),Custom field (Serial Number),Custom field (Source Code Function),Sprint,Custom field (Status Note),Custom field (Story Points),Custom field (Supplier Promise Date),Custom field (Target end),Custom field (Target start),Custom field (Task Code),Custom field (Team),Custom field (Technical Impact),Custom field (Test Bench Model),Custom field (Test Case),Custom field (Test Condition),Custom field (Test Field),Custom field (Test Info),Custom field (Test Setup Description),Custom field (Test Suite),Custom field (Testers Of Cycle),Custom field (Time Code),Custom field (Unit Cost),Custom field (Unit of Measure),Custom field (Vehicle),Custom field (Vehicle),Custom field (Vehicle),Custom field (Vehicle),Custom field (Vehicle),Custom field (Vendor),Custom field (Verification Artifacts),Custom field (Verification Environment),Custom field (Verification Environment),Custom field (Verification Method),Custom field (customfield_16505),Custom field (customfield_16505),Custom field (gitBranch),Custom field (gitCommitsReferenced),Custom field (resultsOfCycle),Custom field (urgencyOfRun),Comment,Comment,Comment,Comment,Comment,Comment
Menu Caution and Warning Indication,DMFDREQ-2302,121446,Requirement,In Requirement Review,DMFDREQ,Delta MFD Requirements,software,RegmiA,,,Priority Unassigned,,,Kamgang-TemaS,Kamgang-TemaS,31/Aug/26 11:06 AM,01/Sep/26 10:44 AM,02/Sep/26 2:55 PM,,,,MFD Software,,0,visited,,,,,"The MFD shall show a colored strip on the bottom menu whenever a CAS message related to one of the pages under that menu is active.
 * A yellow strip shall appear for CAUTION-level CAS messages.
 * A red strip shall appear for WARNING-level CAS messages.

The table below identifies which WARNING and CAUTION CAS messages are associated with each bottom-menu page.
||Menu||Page||Associated Warning||Associated Caution||
|NAV|MAP|N/A|N/A|
|NAV|NAV|N/A|N/A|
|NAV|SETUP|N/A|N/A|
|COM|COM| |CAS_COM_1_NO_COMM_C
CAS_COM_2_NO_COMM_C|
|COM|XPRD| |CAS_XPONDER_NO_COMM_C|
|PNEU| |CAS_BOTL_L_O_PRES_LOW_W
CAS_BOTL_L_I_PRES_LOW_W
CAS_BOTL_R_I_PRES_LOW_W
CAS_BOTL_R_O_PRES_LOW_W|CAS_BOTL_L_O_PRES_HI_C
CAS_BOTL_L_I_PRES_HI_C
CAS_BOTL_R_I_PRES_HI_C
CAS_BOTL_R_O_PRES_HI_C
CAS_REG_L_PRESS_C
CAS_REG_R_PRESS_C|
|ELEC| |CAS_BATT_E_CHARGE_W
CAS_BATT_E_CURRENT_W
CAS_BATT_E_TEMP_HIGH_W
CAS_BATT_L_CHARGE_W
CAS_BATT_L_CURRENT_W
CAS_BATT_L_TEMP_HIGH_W
CAS_BATT_R_CHARGE_W
CAS_BATT_R_CURRENT_W
CAS_BATT_R_TEMP_HIGH_W|CAS_BATT_E_CHARGE_C
CAS_BATT_E_CURRENT_C
CAS_BATT_E_TEMP_LOW_C
CAS_BATT_L_CHARGE_C
CAS_BATT_L_CURRENT_C
CAS_BATT_L_TEMP_LOW_C
CAS_BATT_R_CHARGE_C
CAS_BATT_R_CURRENT_C
CAS_BATT_R_TEMP_LOW_C
CAS_BUS_L_FAIL_C
CAS_BUS_L_VOLTS_C
CAS_BUS_R_FAIL_C
CAS_BUS_R_VOLTS_C
CAS_BUS_TF_L_VOLTS_C
CAS_BUS_TF_L_FAIL_C
CAS_BUS_TF_R_VOLTS_C
CAS_BUS_TF_R_FAIL_C
CAS_PYLON_L_VOLTS_C
CAS_PYLON_R_VOLTS_C|
|ECS|PRESS|CAS_BOTL_R_I_PRES_LOW_W
CAS_BOTL_L_O_PRES_LOW_W
CAS_CAB_ALTITUDE_HI_W|CAS_BOTL_R_I_PRES_HI_C
CAS_REG_R_PRESS_C
CAS_BOTL_R_I_PRES_HI_C
CAS_CAB_ALTITUDE_HI_C|
|ECS|TEMPS|CAS_WINDOW_L_TEMP_HI_W
CAS_WINDOW_R_TEMP_HI_W
CAS_BRAKE_L_TEMP_HI_W
CAS_BRAKE_R_TEMP_HI_W|CAS_BLEED_AIR_TEMP_C
CAS_BRAKE_R_TEMP_HI_C
CAS_BRAKE_L_TEMP_HI_C
CAS_WINDOW_R_TEMP_HI_C
CAS_WINDOW_L_TEMP_HI_C
CAS_NOSE_GEAR_TEMP_C|
|RKT|ALL|CAS_FPT_TEMP_HIGH_W
CAS_RMC_ABORT_W|CAS_RMC_NO_COMM_C
CAS_FPT_PRESS_HI_C
CAS_PSC_FAULT_C|
|RKT|PRESS|CAS_MOT_PRESS_HI_W
CAS_FPT_TEMP_HIGH_W|CAS_MOT_TEMP_LO_C
CAS_MOT_PRESS_HI_C
CAS_MOT_PRESS_LO_C
CAS_BOTL_BUDAN_PRS_LO_C
CAS_FPT_PRESS_HI_C|
|RKT|VALVE|N/A|N/A|
|RKT|CTN|N/A|N/A|
|FTHR| |CAS_LOCK_FEATHER_W
CAS_FTHR_L_PNEU_JAM_W
CAS_FTHR_R_PNEU_JAM_W
CAS_LOCK_L_JAM_W
CAS_LOCK_R_JAM_W
CAS_FTHR_CMD_DISAGREE_W
CAS_LOCK_CMD_DISAGREE_W|CAS_FTHR_INHIBITED_C
CAS_LOCK_SENSE_FAULT_C
CAS_FTHR_SENSE_FAULT_C|
|CTRL|SURFC|N/A|N/A|
|CTRL|RCS|CAS_RCS_CAPABILITY_W
CAS_BOTL_L_O_PRES_LOW_W
CAS_BOTL_R_O_PRES_LOW_W
CAS_RCS_PRI_FAIL_W
CAS_RCS_BU_FAIL_W
CAS_RCS_PRI_UNCMD_W
CAS_RCS_BU_UNCMD_W|CAS_RCS_CAPABILITY_C
CAS_BOTL_L_O_PRES_HI_C
CAS_BOTL_R_O_PRES_HI_C
CAS_RCS_PRI_FAULT_C
CAS_RCS_BU_FAULT_C|
|CTRL|FBW-CMD|N/A|N/A|
|CTRL|STAB|CAS_STAB_STALL_W|CAS_STAB_PRI_CMD_ERR_C
CAS_STAB_SEC_CMD_ERR_C|
|CTRL|RUDDER|CAS_RUD_R_LOCKED_W
CAS_RUD_L_LOCKED_W|CAS_RUD_PRI_L_FAULT_C
CAS_RUD_PRI_R_FAULT_C
CAS_RUD_SEC_L_FAULT_C
CAS_RUD_SEC_R_FAULT_C|
|CTRL|ELEVON|CAS_ELEV_L_LOCKED_W
CAS_ELEV_R_LOCKED_W|CAS_ELEV_PRI_L_FAULT_C
CAS_ELEV_PRI_R_FAULT_C
CAS_ELEV_SEC_L_FAULT_C
CAS_ELEV_SEC_R_FAULT_C
CAS_ELEV_L_LOCKED_C
CAS_ELEV_R_LOCKED_C|
|PLAN|FLT|N/A|N/A|
|PLAN|W&B|N/A|N/A|
|PLAN|ROUTE|N/A|N/A|
|PLAN|INS|N/A|N/A|
|DIAG|HIST|N/A|N/A|
|DIAG|CAS|N/A|N/A|
|DIAG|ADC|CAS_ADC_L_NO_COMM_C
CAS_ADC_MISCOMPARE_C
CAS_ADC_R_NO_COMM_C|N/A|
|DIAG|A&B|N/A|N/A|
|DIAG|INS-A|N/A|CAS_INS_L_ALIGNING_C
CAS_INS_R_ALIGNING_C
CAS_INS_L_FAULT_C
CAS_INS_R_FAULT_C
CAS_INS_L_NO_COMM_C
CAS_INS_R_NO_COMM_C|
|DIAG|INS-B|N/A|CAS_INS_L_ALIGNING_C
CAS_INS_R_ALIGNING_C
CAS_INS_L_FAULT_C
CAS_INS_R_FAULT_C
CAS_INS_POS_MISCOMP_C
CAS_INS_L_NO_COMM_C
CAS_INS_R_NO_COMM_C
CAS_INS_ATT_MISCOMP_C|
|DIAG|XPDR|N/A|N/A|
|DIAG|DAU|N/A|N/A|
|DIAG|MFD|N/A|N/A|
|DIAG|HBEAT|N/A|N/A|
|DIAG|ANALOG|N/A|N/A|
|DIAG|DIO|N/A|N/A|
|DIAG|BEZEL|N/A|N/A|
|DIAG|RMC|N/A|N/A|
|DIAG|RMC-IO|N/A|N/A|
|DIAG|RMC-SS|N/A|N/A|
|DIAG|BMS|N/A|N/A|
|DIAG|FCC-ANA|CAS_PEDAL_FAIL_W|CAS_PEDAL_DUAL_FAULT_C
CAS_PEDAL_FAULT_C
CAS_RB_NOT_ENABLED_C|
|DIAG|FCC-DIO|CAS_SAS_NOT_ENABLED_C|N/A|
|DIAG|FCC-FAULT| | |
|DIAG|CTRLR|N/A|CAS_STAB_PRI_L_NO_COM_C
CAS_STAB_PRI_R_NO_COM_C
CAS_STAB_SEC_L_NO_COM_C
CAS_STAB_SEC_R_NO_COM_C
CAS_ELEV_PRI_L_NO_COM_C
CAS_ELEV_PRI_R_NO_COM_C
CAS_ELEV_SEC_L_NO_COM_C
CAS_ELEV_SEC_R_NO_COM_C
CAS_RUD_PRI_L_NO_COM_C
CAS_RUD_PRI_R_NO_COM_C
CAS_RUD_SEC_L_NO_COM_C
CAS_RUD_SEC_R_NO_COM_C
CAS_CNTLR_NO_RESET_C|
|DIAG|CTRLR-FAULT|N/A|CAS_ELEV_PRI_L_FAULT_C
CAS_ELEV_PRI_R_FAULT_C
CAS_ELEV_SEC_L_FAULT_C
CAS_ELEV_SEC_R_FAULT_C
CAS_RUD_PRI_L_FAULT_C
CAS_RUD_PRI_R_FAULT_C
CAS_RUD_SEC_L_FAULT_C
CAS_RUD_SEC_R_FAULT_C
CAS_STAB_PRI_L_FAULT_C
CAS_STAB_PRI_R_FAULT_C
CAS_STAB_SEC_L_FAULT_C
CAS_STAB_SEC_R_FAULT_C
CAS_CNTLR_NO_RESET_C|
|DIAG|STICK|CAS_STK_L_JAM_W
CAS_STK_L_FAIL_W
CAS_STK_R_FAIL_W
CAS_STK_R_JAM_W|CAS_STK_FIGHT_C
CAS_STK_IBIT_FAIL_C
CAS_STK_L_PASSIVE_C
CAS_STK_L_PITCH_FAULT_C
CAS_STK_L_FAIL_C
CAS_STK_L_ROLL_FAULT_C
CAS_STK_R_PASSIVE_C
CAS_STK_R_PITCH_FAULT_C
CAS_STK_R_FAIL_C
CAS_STK_R_ROLL_FAULT_C
CAS_STK_UNLINK_C|
|DIAG|FTHR|N/A|N/A|",,Kamgang-TemaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0,,,,,,,,,,,Yes,,,Not Tracked,,,,,,,,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,"0|10dk18:",Self Evident,,,,,,,,,,,,L4 - Subcomponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<input type=""hidden"" class=""testInfoReqKey"" id=""reqKey"" value=""""/>
<span id=""test-info-field-"" class=""synapse-agile-link"" data-issue-key="""" data-issue-summary="""">
	 <aui-badge style=""background-color:wheat;width:20px;"" title=""Test Cases count"">0</aui-badge> </span>",,,,,,,SS - Delta,,,,,,,Automated_System_Test,,Automated System Test,,,,,,,,,,,,
SYSTEMS AUTO MAN - No Approach,DMFDREQ-2301,121445,Requirement,In Requirement Review,DMFDREQ,Delta MFD Requirements,software,RegmiA,,,Major,,,MoonR2,Kamgang-TemaS,31/Aug/26 10:35 AM,31/Aug/26 10:39 AM,02/Sep/26 3:00 PM,,,,MFD Software,,0,AutoSeq,re-visited,SYSTEMS,,,"The SYSTEMS Page shall display the text ""No approach data available!"" in Red when current page is set to Energy Display, and no approach has been set on the PLAN FLT page.

!image-2026-08-31-10-39-31-360.png!

 
 ",,Kamgang-TemaS,,,,,,,,,,,,,,,,,,,,,DMFDREQ-475,,,,,,,,,,,,,,,,,,,,,,"31/Aug/26 10:39 AM;Kamgang-TemaS;image-2026-08-31-10-39-31-360.png;https://avjira/secure/attachment/58894/image-2026-08-31-10-39-31-360.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0,,,,,,,,,,,Yes,,,Not Tracked,,,,,,,,$0.00,,12/Jun/25 10:49 AM,,,,,,,,,,,,,,,,,,,,,,,"0|10dk10:",self evident.,,,,,,,,,,,,L4 - Subcomponent,,,Are quantitative values defined with a tolerance?,"Are the parent/child relationships defined, and if not is it classified as a derived requirement?","Does the requirement meet the intent of its parent requirements? i.e. is the requirement valid? Note: This may be accomplished by CCB inspection, but may require modeling and simulation, prototype testing, product trials, or analysis.","If a performance requirement, does it have a timing and accuracy qualifier?",Is there a singular shall statement?,Is the requirement appropriately tagged as a safety requirement or not?,Is the requirement level defined and is it appropriate?,Is the requirement unambiguous?,Is the requirement verifiable at the requirement’s level? (N/A for Functional Statement),Is the requirement worded in a way that does not propose implementation?,Is the verification method defined and is it appropriate? (N/A for Functional Statement),,,,,,,,,,,,,,,,,,,,,,,,"<input type=""hidden"" class=""testInfoReqKey"" id=""reqKey"" value=""""/>
<span id=""test-info-field-"" class=""synapse-agile-link"" data-issue-key="""" data-issue-summary="""">
	 <aui-badge style=""background-color:wheat;width:20px;"" title=""Test Cases count"">0</aui-badge> </span>",,,,,,,SS2 - Unity,SS3 - Imagine,,,,,,Automated_System_Test,,Automated System Test,,,,,,,,,,,,
DIAG FTHR Inhibit Status,DMFDREQ-2300,120372,Requirement,New Requirement,DMFDREQ,Delta MFD Requirements,software,RegmiA,,,Major,,,MoonR2,MatsuokaM,25/Aug/26 6:52 PM,25/Aug/26 7:00 PM,02/Sep/26 3:00 PM,,,,,,0,DELTA,DIAG_FTHR,DIAG_TAB,,,"The DIAG FTHR page shall display the status of the feather inhibit logic as white filled when true, or black fill otherwise for the following status:
|Name|
|LOCK INHIBIT|
|UNLOCK INHIBIT|
|FTHR UP INHIBIT|
|FTHR DN INHIBIT|
|OVERRIDE AVCTIVE|
|VEHICLE OFF|
|NOT OK TO LOCK|
|MATED|
|RMC STATE|
|AIRSPEED HIGH|
|LOCK POS SW|
|UNLOCK POS SW|
|ALTITUDE HIGH|
|REENTRY COMPLETE|
|VEHICLE NOT MOVING|

 

!image-2026-08-25-18-57-10-955.png!",,MatsuokaM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25/Aug/26 6:57 PM;MatsuokaM;image-2026-08-25-18-57-10-955.png;https://avjira/secure/attachment/58686/image-2026-08-25-18-57-10-955.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,0,,,,,,,,,,,Yes,,,Not Tracked,,,,,,,,$0.00,,12/Jun/25 10:49 AM,,,,,,,,,,,,,,,,,,,,,,,"0|10ddgs:",Self Evident,,,,,,,,,,,,L4 - Subcomponent,,,Are quantitative values defined with a tolerance?,"Are the parent/child relationships defined, and if not is it classified as a derived requirement?","Does the requirement meet the intent of its parent requirements? i.e. is the requirement valid? Note: This may be accomplished by CCB inspection, but may require modeling and simulation, prototype testing, product trials, or analysis.","If a performance requirement, does it have a timing and accuracy qualifier?",Is there a singular shall statement?,Is the requirement appropriately tagged as a safety requirement or not?,Is the requirement level defined and is it appropriate?,Is the requirement unambiguous?,Is the requirement verifiable at the requirement’s level? (N/A for Functional Statement),Is the requirement worded in a way that does not propose implementation?,Is the verification method defined and is it appropriate? (N/A for Functional Statement),,,,,,,,,,,,,,,,,,,,,,,,"<input type=""hidden"" class=""testInfoReqKey"" id=""reqKey"" value=""""/>
<span id=""test-info-field-"" class=""synapse-agile-link"" data-issue-key="""" data-issue-summary="""">
	 <aui-badge style=""background-color:wheat;width:20px;"" title=""Test Cases count"">0</aui-badge> </span>",,,,,,,SS - Delta,,,,,,,Automated_System_Test,,Automated System Test,,,,,,,,,,,,
DIAG RMC IO Voted Analog Status,DMFDREQ-2299,120330,Requirement,Requirement Validated,DMFDREQ,Delta MFD Requirements,software,RegmiA,,,Priority Unassigned,Requirement Accepted,,MoonR2,Kamgang-TemaS,24/Aug/26 11:35 AM,25/Aug/26 6:58 AM,02/Sep/26 3:00 PM,25/Aug/26 6:58 AM,,,,,0,DIAG_RMC_IO,DIAG_TAB,visited,,,"The DIAG RMC IO Page shall display the following analog statuses:
|RCU_PT_M_CTN_VOTED_PSIA_STATUS|
|RCU_PT_X_MOT_VOTED_PSIA_STATUS|

as follows:
|1|OK|White|Black|
|other|INOP|Black|Yellow|

 ",,Kamgang-TemaS,RegmiA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,0,,,,,,,,,,,Yes,,,Not Tracked,,,,,,,"'
Validated during MFD requirement validation meeting on 07/21/2026 by [~RegmiA], [~flynnj], [~SuttonS], [~RobsonS], [~Kamgang-TemaS] with the rationale that the requirement reflects what's currently implemented and the current MFD software implementation is validated on the sim during sim runs by pilots. So, the initial validation is approved on the basis of that.",$0.00,,24/Jun/26 6:59 PM,,,,,,,,,,,,,,,,,,,,,,,"0|10dd8s:",self evident,,,,,,,,,,,,L4 - Subcomponent,,,Are quantitative values defined with a tolerance?,"Are the parent/child relationships defined, and if not is it classified as a derived requirement?","Does the requirement meet the intent of its parent requirements? i.e. is the requirement valid? Note: This may be accomplished by CCB inspection, but may require modeling and simulation, prototype testing, product trials, or analysis.","If a performance requirement, does it have a timing and accuracy qualifier?",Is there a singular shall statement?,Is the requirement appropriately tagged as a safety requirement or not?,Is the requirement level defined and is it appropriate?,Is the requirement unambiguous?,Is the requirement verifiable at the requirement’s level? (N/A for Functional Statement),Is the requirement worded in a way that does not propose implementation?,Is the verification method defined and is it appropriate? (N/A for Functional Statement),,,,,,,,,,,,,,,,,,,,,,,,"<input type=""hidden"" class=""testInfoReqKey"" id=""reqKey"" value=""""/>
<span id=""test-info-field-"" class=""synapse-agile-link"" data-issue-key="""" data-issue-summary="""">
	 <aui-badge style=""background-color:wheat;width:20px;"" title=""Test Cases count"">0</aui-badge> </span>",,,,,,,,,,,,,,,,Automated System Test,,,,,,,"25/Aug/26 6:58 AM;RegmiA;
Validated during MFD requirement validation meeting on 07/21/2026 by [~RegmiA], [~flynnj], [~SuttonS], [~RobsonS], [~Kamgang-TemaS] with the rationale that the requirement reflects what's currently implemented and the current MFD software implementation is validated on the sim during sim runs by pilots. So, the initial validation is approved on the basis of that.;;;",,,,,
